Timestamp (s),ArmDisarm,DesiredSpeed (m/s),LongitudinalSpeed (m/s),LateralSpeed (m/s),MeasuredSpeed (m/s),ObstacleDistance (m),Steering (rad),SystemCmdSpeed (m/s),SystemCmdSteering (rad),YawAngle (rad),YawRate (rad/s),Throttle (%),DataType
0.381667,0,0,0,0,0,2.26477,-0.00228122,0,-0.00228122,0,0,0,1
0.383333,0,0,0,0,0,2.26477,-0.00228122,0,-0.00228122,0,0,0,1
0.385,0,0,0,0,0,2.26477,-0.00228122,0,-0.00228122,0,0,0,1
0.386667,0,0,0,0,0,2.26477,-0.00228122,0,-0.00228122,0,0,0,1
0.388333,0,0,0,0,0,2.26477,-0.00228122,0,-0.00228122,0,0,0,1
0.39,0,0,0,0,0,2.26477,-0.00228122,0,-0.00228122,0,0,0,1
0.391667,0,0,0,0,0,2.26477,-0.00228122,0,-0.00228122,0,0,0,1
0.393333,0,0,0,0,0,2.26477,-0.00228122,0,-0.00228122,0,0,0,1
0.395,0,0,0,0,0,2.26477,-0.00228122,0,-0.00228122,0,0,0,1
0.396667,0,0,0,0,0,2.26477,-0.00228122,0,-0.00228122,0,0,0,1
0.398333,0,0,0,0,0,2.26477,-0.00228122,0,-0.00228122,0,0,0,1
0.4,0,0,0,0,0,2.2785,-0.00148798,0,-0.00148798,0,0,0,1
0.401667,0,0,0,0,0,2.2785,-0.00148798,0,-0.00148798,0,0,0,1
0.403333,0,0,0,0,0,2.2785,-0.00148798,0,-0.00148798,0,0,0,1
0.405,0,0,0,0,0,2.2785,-0.00148798,0,-0.00148798,0,0,0,1
0.406667,0,0,0,0,0,2.2785,-0.00148798,0,-0.00148798,0,0,0,1
0.408333,0,0,0,0,0,2.2785,-0.00289897,0,-0.00289897,0,0,0,1
0.41,0,0,0,0,0,2.32218,-0.00289897,0,-0.00289897,0,0,0,1
0.411667,0,0,0,0,0,2.32218,-0.00289897,0,-0.00289897,0,0,0,1
0.413333,0,0,0,0,0,2.32218,-0.00289897,0,-0.00289897,0,0,0,1
0.415,0,0,0,0,0,2.32218,-0.00289897,0,-0.00289897,0,0,0,1
0.416667,0,0,0,0,0,2.32218,-0.00289897,0,-0.00289897,0,0,0,1
0.418333,0,0,0,0,0,2.32218,-0.00289897,0,-0.00289897,0,0,0,1
0.42,0,0,0,0,0,2.27693,-0.00289897,0,-0.00289897,0,0,0,1
0.421667,0,0,0,0,0,2.27693,-0.00289897,0,-0.00289897,0,0,0,1
0.423333,0,0,0,0,0,2.27693,-0.00289897,0,-0.00289897,0,0,0,1
0.425,0,0,0,0,0,2.27693,-0.00289897,0,-0.00289897,0,0,0,1
0.426667,0,0,0,0,0,2.27693,-0.00289897,0,-0.00289897,0,0,0,1
0.428333,0,0,0,0,0,2.27693,-0.00289897,0,-0.00289897,0,0,0,1
0.43,0,0,0,0,0,2.35574,-0.00289897,0,-0.00289897,0,0,0,1
0.431667,0,0,0,0,0,2.35574,-0.00289897,0,-0.00289897,0,0,0,1
0.433333,0,0,0,0,0,2.35574,-0.00289901,0,-0.00289901,0,0,0,1
0.435,0,0,0,0,0,2.35574,-0.00289901,0,-0.00289901,0,0,0,1
0.436667,0,0,0,0,0,2.35574,-0.00289901,0,-0.00289901,0,0,0,1
0.438333,0,0,0,0,0,2.35574,-0.00289901,0,-0.00289901,0,0,0,1
0.44,0,0,0,0,0,2.27489,-0.00289901,0,-0.00289901,0,0,0,1
0.441667,0,0,0,0,0,2.27489,-0.00289901,0,-0.00289901,0,0,0,1
0.443333,0,0,0,0,0,2.27489,-0.00289901,0,-0.00289901,0,0,0,1
0.445,0,0,0,0,0,2.27489,-0.00289901,0,-0.00289901,0,0,0,1
0.446667,0,0,0,0,0,2.27489,-0.00289901,0,-0.00289901,0,0,0,1
0.448333,0,0,0,0,0,2.27489,-0.00289901,0,-0.00289901,0,0,0,1
0.45,0,0,0,0,0,2.26415,-0.000387557,0,-0.000387557,0,0,0,1
0.451667,0,0,0,0,0,2.26415,-0.000387557,0,-0.000387557,0,0,0,1
0.453333,0,0,0,0,0,2.26415,-0.000387557,0,-0.000387557,0,0,0,1
0.455,0,0,0,0,0,2.26415,-0.000387557,0,-0.000387557,0,0,0,1
0.456667,0,0,0,0,0,2.26415,-0.000387557,0,-0.000387557,0,0,0,1
0.458333,0,0,0,0,0,2.26415,-0.000387557,0,-0.000387557,0,0,0,1
0.46,0,0,0,0,0,2.37107,-0.000387557,0,-0.000387557,0,0,0,1
0.461667,0,0,0,0,0,2.37107,-0.000387557,0,-0.000387557,0,0,0,1
0.463333,0,0,0,0,0,2.37107,-0.000387557,0,-0.000387557,0,0,0,1
0.465,0,0,0,0,0,2.37107,-0.000387557,0,-0.000387557,0,0,0,1
0.466667,0,0,0,0,0,2.37107,-0.000254202,0,-0.000254202,0,0,0,1
0.468333,0,0,0,0,0,2.37107,-0.000254202,0,-0.000254202,0,0,0,1
0.47,0,0,0,0,0,2.38169,-0.000254202,0,-0.000254202,0,0,0,1
0.471667,0,0,0,0,0,2.38169,-0.000254202,0,-0.000254202,0,0,0,1
0.473333,0,0,0,0,0,2.38169,-0.000254202,0,-0.000254202,0,0,0,1
0.475,0,0,0,0,0,2.38169,-0.00056694,0,-0.00056694,0,0,0,1
0.476667,0,0,0,0,0,2.38169,-0.00056694,0,-0.00056694,0,0,0,1
0.478333,0,0,0,0,0,2.38169,-0.00056694,0,-0.00056694,0,0,0,1
0.48,0,0,0,0,0,2.21707,-0.00056694,0,-0.00056694,0,0,0,1
